NB_DECES_PIETON;NB_BLESSES_PIETON;NB_DECES_VELO;NB_BLESSES_VELO;RUE_ACCDN;CD_GENRE_ACCDN
0;0;0;1;PRDE DE LA GATINEAU;33
0;1;0;0;BD PFDS;32
0;1;0;0;GOUIN O;32
0;1;0;0;FERNAND ET RICHARD;32
0;1;0;0;JACQUES BIZARD BD;32
0;1;0;0;DES CAGEUX;32
0;1;0;0;STE ANNE;32
0;1;0;0;PIERREFONDS;32
0;1;0;0;DES PRES;32
0;1;0;0;BD DES SOURCES;32
0;1;0;0;BD PIERREFONDS;32
0;1;0;0;BD PIERREFOND;32
0;0;0;1;DE PIERREFONDS;33
0;0;0;1;;33
0;0;0;1;;33
0;1;0;0;BD PIERREFONDS;32
0;1;0;0;;32
0;0;0;1;ST CHARLES BD;33
0;0;0;1;BD PIERREFONDS;33
0;1;0;0;PIERREFONDS;32
0;1;0;0;PIERREFONDS;32
0;1;0;0;BD GOUIN O;32
0;0;0;1;;33
0;0;0;1;;33
0;0;0;1;PIERREFONDS;33
0;0;0;1;BD DE PIERREFONDS;33
0;1;0;0;;32
0;1;0;0;LALANDE;32
0;1;0;0;GOUIN O;32
0;1;0;0;;32
0;1;0;0;BARNETT;32
0;1;0;0;SOURCES PRES;32
0;1;0;0;BRUNSWICK;32
0;1;0;0;WESTPARK;32
0;1;0;0;ANDRAS;32
0;1;0;0;BD DES SOURCES;32
0;0;0;1;DAVIGNON;33
0;0;0;0;LAKE;33
0;0;0;1;SOURCES;33
0;1;0;0;BRUNSWICK BD;32
0;0;0;1;SALABERRY;33
0;0;0;1;COOLBROOKE;33
0;0;0;1;HYMAN;33
0;0;0;1;SUMMERSET;33
0;0;0;1;;33
0;0;0;1;HYMAN;33
0;0;0;1;BD DES SOURCES;33
0;1;0;0;ST JEAN;32
0;1;0;0;BD DE SALABERRY;32
0;1;0;0;BD SALABERRY;32
0;1;0;0;CHURCHILL;32
0;1;0;0;TRANSCANADIENNE;32
0;1;0;0;ROMEO VACHON;32
0;1;0;0;;32
0;1;0;0;TRANSCANADIENNE STAT;32
0;1;0;0;ROMEO VACHON;32
0;1;0;0;ROMEO VACHON;32
0;1;0;0;ROMEO VACHON;32
0;1;0;0;ALBERT DE NIVERVILLE;32
0;1;0;0;;32
0;0;0;1;BORD DU LAC ET LAKESHORE;33
0;1;0;0;GALLAND;32
0;1;0;0;;32
0;0;0;0;TRANSCANADIENNE;33
0;1;0;0;TRANS CANADA;32
0;0;0;1;DELMAR;33
0;1;0;0;LEIGH CAPRIOLES;32
0;0;0;1;CH COTE DE LIESSE;33
0;1;0;0;PLACE LEIGH CAPREOL;32
0;0;0;1;BD ST JEAN;33
0;0;0;1;DONEGANI ET MAYWOOD;33
0;0;0;1;PARKFIELD;33
0;0;0;1;PINE BEACH;33
0;1;0;0;LEIGH CAPREOL;32
0;0;0;1;COTE DE LIESSE VOIE SERV;33
0;0;0;1;BORD DU LAC;33
0;0;0;1;BD HYMUS;33
0;1;0;0;ROMEO VACHON N;32
0;0;0;1;COTE DE LIESSE CH DE LA;33
0;1;0;0;HASTING;32
0;1;0;0;AV CARSON;32
0;1;0;0;LEIGH CAPRIOL;32
0;1;0;0;AV CARSON FACE AU;32
0;1;0;0;LAKEVIEW;32
0;1;0;0;TRANSCANADIENNE;32
0;1;0;0;55E AV;32
0;1;0;0;POIRIER;32
0;1;0;0;;32
0;1;0;0;DECARIE;32
0;1;0;0;CARDINAL;32
0;1;0;0;COTE VERTU;32
0;1;0;0;MARCEL LAURIN;32
0;1;0;0;DESLAURIERS;32
0;1;0;0;COTE VERTU;32
0;1;0;0;DECARIE;32
0;1;0;0;CAMBRIDGE;32
0;1;0;0;;32
0;1;0;0;DEGUIRE;32
0;1;0;0;COTE VERTU;32
0;1;0;0;COTE VERTU;32
0;1;0;0;DEGUIRE;32
0;1;0;0;COTE VERTU;32
0;1;0;0;MARCEL LAURIN;32
0;1;0;0;COTE VERTU;32
0;0;0;1;COTE DE LIESSE;33
0;1;0;0;ST LOUIS;32
0;1;0;0;BD MARCEL LAURIN;32
0;1;0;0;BD ALEXIS NIHON;32
0;1;0;0;DE COURVAL;32
0;0;0;1;DU COLLEGE;33
0;1;0;0;STE CROIX;32
0;1;0;0;BD COTE VERTU;32
0;1;0;0;MARCEL LAURIN;32
0;0;0;1;O BRIEN;33
0;0;0;1;BD STE CROIX;33
0;0;0;1;CREPEAU;33
1;0;0;0;POIRIER;32
0;0;0;1;ST FRANCOIS;33
0;0;0;1;GRENET;33
0;1;0;0;BD CAVENDISH;32
0;0;0;1;DE L EGLISE;33
0;0;0;1;BD COTE VERTU;33
0;0;0;1;STE CROIX;33
0;1;0;0;COTE VERTU;32
0;0;0;1;MUIR;33
0;1;0;0;COTE VERTU;32
0;1;0;0;ALEXIS NIHON;32
0;1;0;0;MARCEL LAUIN;32
0;1;0;0;MARCEL LAURIN;32
0;1;0;0;RTE TRANSCANDIENNE;32
0;1;0;0;GOHIER;32
0;0;0;1;COTE VERTU;33
0;1;0;0;TASSE;32
0;1;0;0;THIMENS;32
0;1;0;0;GRENET;32
0;0;0;1;;33
0;1;0;0;STE CROIX;32
0;1;0;0;ROCHON;32
0;1;0;0;VANIER;32
0;1;0;0;DU COLLEGE;32
0;1;0;0;MARCEL LAURIN FACE;32
0;1;0;0;DU COLLEGE;32
0;1;0;0;MTEE DE LIESSE F;32
0;1;0;0;THIMENS;32
0;1;0;0;COTE VERTU STAT;32
0;1;0;0;ALEXIS NIHON;32
0;1;0;0;MARCEL LAURIN;32
0;1;0;0;HALPERN;32
0;1;0;0;BD COTE VERTU;32
1;0;0;0;VICTORIA;32
0;1;0;0;SHERBROOKE;32
0;1;0;0;ST PIERRE;32
0;1;0;0;1RE AV ENTR;32
0;0;0;1;;33
0;1;0;0;32E AV;32
0;1;0;0;;32
0;1;0;0;VICTORIA;32
0;0;0;1;32E AV;33
0;1;0;0;;32
0;0;0;1;ST JOSEPH;33
0;0;0;1;;33
0;1;0;0;PROVOST;32
0;0;0;0;;33
0;0;0;1;PROVOST;33
0;1;0;0;CAMILLE;32
0;0;0;1;ESTHER BLONDIN;33
0;0;0;1;AV ST PIERRE;33
0;1;0;0;;32
0;0;0;1;REMEMBRANCE STAT;33
0;1;0;0;NORMAN;32
0;1;0;0;ST PIERRE;32
0;0;0;1;VICTORIA;33
0;1;0;0;LOUIS BASILE PIGEON;32
0;1;0;0;ST JOSEPH;32
0;1;0;0;VICTORIA;32
0;1;0;0;N-D;32
0;1;0;0;32E AV;32
0;2;0;0;CH DU MUSEE;32
0;1;0;0;SIR GEORGE SIMPSON;32
0;1;0;0;PROVOST;32
0;1;0;0;DES ERABLES;32
0;1;0;0;N-D;32
0;1;0;0;VICTORIA;32
0;1;0;0;ST ANTOINE;32
0;1;0;0;10E AV;32
0;1;0;0;FLEET;32
0;1;0;0;CAVENDISH;32
0;1;0;0;KILDARE;32
0;1;0;0;CH DE LA COTE ST LUC;32
0;1;0;0;COTE ST LUC;32
0;1;0;0;CH MACKLE;32
0;1;0;0;CAVENDISH;32
0;1;0;0;COTE ST LUC;32
0;0;0;1;;33
0;1;0;0;SMART;32
0;0;0;1;WESTMINSTER;33
0;1;0;0;WESTBOURNE;32
0;0;0;1;;33
0;0;0;1;MTL TORONTO;33
0;0;0;1;CH COTE ST LUC;33
0;0;0;1;CH COTE ST LUC;33
0;0;0;1;COTE ST LUC;33
0;1;0;0;BD CAVENDISH;32
0;0;0;1;BOILY;33
0;2;0;0;CAVENDISH OPP;32
0;1;0;0;CH COTE ST LUC;32
0;1;0;0;COTE ST LUC;32
1;0;0;0;;32
0;1;0;0;GUELPH;32
0;1;0;0;GLENMORE;32
0;1;0;0;DU MARCHE CENTRAL;32
0;1;0;0;;32
0;1;0;0;LACHAPELLE;32
0;1;0;0;GOUIN;32
0;1;0;0;GRENET;32
0;1;0;0;GOUIN O;32
0;0;0;1;GOUIN O;33
0;1;0;0;ACADIE;32
0;1;0;0;LAURENTIEN;32
0;1;0;0;ACADIE;32
0;1;0;0;;32
0;1;0;0;SALABERRY;32
0;0;1;0;SALABERRY;33
0;1;0;0;;32
0;1;0;0;MARCHE CENTR;32
0;0;0;1;ACADEMIE ET LOUVAIN;33
0;1;0;0;BD SALABERRY;32
0;0;0;1;;33
0;1;0;0;TRACY;32
0;0;0;1;JEAN BOUILLET;33
0;0;0;1;BOIS DE BOULOGNE;33
0;0;0;1;ACADIE;33
0;1;0;0;ACADIE;32
0;0;0;1;PASTEUR;33
0;1;0;0;;32
0;1;0;0;RANGER;32
0;1;0;0;;32
0;1;0;0;DUDEMAINE;32
0;0;0;1;GRENET;33
0;1;0;0;SALABERRY;32
0;1;0;0;GOUIN O;32
0;1;0;0;GRENET;32
0;1;0;0;HENRI BOURASSA;32
0;1;0;0;ROBERTINE BARRY;32
0;1;0;0;SALABERRY;32
0;1;0;0;FILION;32
0;1;0;0;LAURENTIEN;32
0;1;0;0;ACADIE;32
0;1;0;0;SHERBROOKE;32
0;1;0;0;WALKLEY;32
0;1;0;0;MADISON;32
0;1;0;0;CAVENDISH;32
0;1;0;0;ST JACQUES;32
0;1;0;0;OXFORD;32
0;1;0;0;ST JACQUES;32
0;1;0;0;ST JACQUES;32
0;1;0;0;;32
0;1;0;0;EARNSCLIFFE;32
0;1;0;0;WALKLEY;32
0;1;0;0;SHERBROOKE FACE AU;32
0;1;0;0;AV WALKLEY;32
0;1;0;0;CORONATION;32
0;1;0;0;DECARIE;32
0;1;0;0;MAISONNEUVE O;32
0;0;0;1;WILSON;33
0;1;0;0;DECARIE;32
0;0;0;1;;33
0;1;0;0;OXFORD;32
0;0;0;1;PRINCE OF WHALES FACE AU;33
0;1;0;0;HAMPTON;32
0;0;0;1;CAVENDISH;33
0;1;0;0;STE ANNE DE BELLEVUE;32
0;0;0;1;UPPER LACHINE;33
0;0;0;1;WILSON;33
0;0;0;1;SOMERLED;33
0;1;0;0;MONKDLAND;32
0;0;0;1;SHERBROOKE;33
0;1;0;0;SHERBROOKE FACE AU;32
0;1;0;0;;32
0;1;0;0;GIROUARD;32
0;1;0;0;SHERBROOKE;32
0;0;1;0;;33
0;1;0;0;MADISON;32
0;1;0;0;DECARIE;32
0;0;0;1;SHERBROOKE;33
0;0;0;1;TERREBONNE;33
0;1;0;0;WEST BROADWAY;32
0;1;0;0;COTE ST LUC;32
0;0;0;1;COTE ST LUC;33
0;0;0;1;MAISONNEUVE;33
0;2;0;0;ST JACQUES;32
0;0;0;1;FIELDING;33
0;0;0;1;MELROSE;33
0;2;0;0;COTE ST ANTOINE;32
0;0;0;1;SHERBROOKE;33
0;1;0;0;WESTMORE;32
0;1;0;0;;32
0;1;0;0;FIELDING;32
0;1;0;0;MAISONNEUVE DE;32
0;1;0;0;DOHERTY;32
0;1;0;0;SHERBROOKE O;32
0;1;0;0;ATWATER;32
0;1;0;0;;32
0;1;0;0;DU FORT;32
0;1;0;0;GROSVENOR;32
0;1;0;0;CLAREMONT;32
0;1;0;0;STE CATHERINE O;32
0;1;0;0;ST MATHIEU;32
0;1;0;0;STE CATHERINE;32
0;0;0;1;RENE LEVESQUE;33
0;1;0;0;SHERBROOKE O;32
0;1;0;0;LINCOLN;32
0;1;0;0;ATWATER;32
0;1;0;0;MAISONNEUVE;32
0;0;0;0;GROVENOR;33
0;0;0;1;DE MAISONNEUVE;33
0;1;0;0;;32
0;1;0;0;SHERBROOKE E;32
0;1;0;0;ST MATHIEU;32
